product_id;code_public;name_full
41103;36100.15;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 150 mm s izolací 50 mm"
41104;36100.16;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 160 mm s izolací 50 mm"
41105;36100.18;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 180 mm s izolací 50 mm"
41106;36100.2;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 200 mm s izolací 50 mm"
41107;36100.23;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm Ø vložky 230 mm s izolací 50 mm"
41108;36100.25;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm Ø vložky 250 mm s izolací 50 mm"
41121;32130.15;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 150 mm s tloušťkou izolace 25 mm"
41122;32130.16;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 160 mm s tloušťkou izolace 25 mm"
41123;32130.18;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 180 mm s tloušťkou izolace 25 mm"
41124;32130.2;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 200 mm s tloušťkou izolace 25 mm"
41125;32130.23;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 230 mm s tloušťkou izolace 25 mm"
41126;32130.25;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 250 mm s tloušťkou izolace 25 mm"
41127;36130.15;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 150 mm s tloušťkou izolace 50 mm"
41128;36130.16;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 160 mm s tloušťkou izolace 50 mm"
41129;36130.18;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 180 mm s tloušťkou izolace 50 mm"
41130;36130.2;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 200 mm s tloušťkou izolace 50 mm"
41131;36130.23;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 230 mm s tloušťkou izolace 50 mm"
41132;36130.25;"ROKA Nerezový třívrstvý komínový díl s kruhovým kontrolním otvorem s deklem Ø vložky 250 mm s tloušťkou izolace 50 mm"
41321;32360.15;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 150 mm s izolací 25 mm"
41322;32360.16;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 160 mm s izolací 25 mm"
41323;32360.18;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 180 mm s izolací 25 mm"
41324;32360.2;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 200 mm s izolací 25 mm"
41325;32360.23;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 230 mm s izolací 25 mm"
41326;32360.25;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 250 mm s izolací 25 mm"
41327;36360.15;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 150 mm s izolací 50 mm"
41328;36360.16;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 160 mm s izolací 50 mm"
41329;36360.18;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 180 mm s izolací 50 mm"
41330;36360.2;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 200 mm s izolací 50 mm"
41331;36360.23;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 230 mm s izolací 50 mm"
41332;36360.25;"ROKA Nerezový třívrstvý komínový dilatační díl délky 530-880 mm Ø 250 mm s izolací 50 mm"
41566;32630.15;"ROKA Díl se šroubením Ø 150 mm s izolací 25 mm"
41567;32630.16;"ROKA Díl se šroubením Ø 160 mm s izolací 25 mm"
41568;32630.18;"ROKA Díl se šroubením Ø 180 mm s izolací 25 mm"
41569;32630.2;"ROKA Díl se šroubením Ø 200 mm s izolací 25 mm"
41570;32630.23;"ROKA Díl se šroubením Ø 230 mm s izolací 25 mm"
